epoch,train_loss,train_acc,val_loss,val_acc
1,0.5284,0.7219,0.4174,0.8008
2,0.3985,0.8069,0.3488,0.8423
3,0.3485,0.8315,0.3390,0.8409
4,0.3188,0.8439,0.3054,0.8525
5,0.2921,0.8583,0.2846,0.8650
6,0.2742,0.8682,0.2702,0.8713
7,0.2638,0.8713,0.2691,0.8689
8,0.2445,0.8813,0.2484,0.8804
9,0.2378,0.8856,0.2532,0.8692
10,0.2296,0.8879,0.2386,0.8825
11,0.2118,0.8983,0.2393,0.8905
12,0.2083,0.8995,0.2234,0.8933
13,0.2028,0.9029,0.2289,0.8912
14,0.1939,0.9067,0.2202,0.9023
15,0.1846,0.9129,0.2401,0.8887
16,0.1815,0.9133,0.2347,0.8845
17,0.1746,0.9181,0.2227,0.8985
18,0.1700,0.9191,0.2293,0.9055
19,0.1678,0.9212,0.2085,0.9107
20,0.1619,0.9232,0.2262,0.8971
21,0.1600,0.9257,0.2188,0.9009
22,0.1566,0.9261,0.2402,0.8940
23,0.1479,0.9296,0.2341,0.9044
24,0.1512,0.9288,0.2415,0.9013
25,0.1303,0.9402,0.2281,0.9062
26,0.1245,0.9414,0.2228,0.9131
27,0.1206,0.9431,0.2277,0.9131
28,0.1205,0.9441,0.2166,0.9166
29,0.1187,0.9436,0.2317,0.9142
30,0.1155,0.9450,0.2352,0.9138
31,0.1125,0.9475,0.2346,0.9173
32,0.1117,0.9488,0.2160,0.9264
33,0.1101,0.9476,0.2352,0.9219
34,0.1084,0.9493,0.2290,0.9180
35,0.1031,0.9513,0.2308,0.9215
36,0.1100,0.9471,0.2055,0.9281
37,0.1094,0.9496,0.2182,0.9222
38,0.1079,0.9505,0.2281,0.9184
39,0.1044,0.9502,0.2164,0.9250
40,0.1014,0.9527,0.2484,0.9111
